team_id,year,school_id,class_id,student_id,role,gender,gender_prob,gender_adj,team_coed,school_single_sex,school_icsea,sector,locale
19,2025,S105,S105_C01,1,head_scientist,female,0.9,female,NA,coed,1020,Government,Metropolitan
19,2025,S105,S105_C01,2,mechanics_lead,male,0.71,unknown,NA,coed,1020,Government,Metropolitan
19,2025,S105,S105_C01,2,project_manager,male,0.71,unknown,NA,coed,1020,Government,Metropolitan
19,2025,S105,S105_C01,3,team_captain,male,0.71,unknown,NA,coed,1020,Government,Metropolitan
20,2025,S105,S105_C01,2,art_lead,male,0.91,male,NA,coed,1020,Government,Metropolitan
20,2025,S105,S105_C01,1,head_scientist,male,0.64,unknown,NA,coed,1020,Government,Metropolitan
20,2025,S105,S105_C01,3,team_captain,male,0.76,unknown,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,3,art_lead,male,0.98,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,5,custom_role,male,0.99,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,5,custom_role,male,0.99,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,4,head_scientist,male,0.99,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,1,mechanics_lead,male,0.94,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,3,narrative_designer,male,0.98,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,2,project_manager,male,0.96,male,NA,coed,1020,Government,Metropolitan
21,2025,S105,S105_C01,2,team_captain,male,0.96,male,NA,coed,1020,Government,Metropolitan
22,2025,S105,S105_C01,3,art_lead,female,1,female,NA,coed,1020,Government,Metropolitan
22,2025,S105,S105_C01,2,narrative_designer,female,0.99,female,NA,coed,1020,Government,Metropolitan
22,2025,S105,S105_C01,1,team_captain,male,0.85,unknown,NA,coed,1020,Government,Metropolitan
23,2025,S105,S105_C01,1,art_lead,male,0.99,male,NA,coed,1020,Government,Metropolitan
23,2025,S105,S105_C01,3,project_manager,male,0.97,male,NA,coed,1020,Government,Metropolitan
23,2025,S105,S105_C01,2,team_captain,male,0.99,male,NA,coed,1020,Government,Metropolitan
24,2025,S105,S105_C01,3,art_lead,male,1,male,NA,coed,1020,Government,Metropolitan
24,2025,S105,S105_C01,1,mechanics_lead,male,0.99,male,NA,coed,1020,Government,Metropolitan
24,2025,S105,S105_C01,2,narrative_designer,male,0.99,male,NA,coed,1020,Government,Metropolitan
24,2025,S105,S105_C01,4,team_captain,male,0.95,male,NA,coed,1020,Government,Metropolitan
25,2025,S105,S105_C01,1,art_lead,female,0.96,female,NA,coed,1020,Government,Metropolitan
25,2025,S105,S105_C01,2,mechanics_lead,female,1,female,NA,coed,1020,Government,Metropolitan
25,2025,S105,S105_C01,3,narrative_designer,female,0.56,unknown,NA,coed,1020,Government,Metropolitan
25,2025,S105,S105_C01,4,team_captain,female,0.93,female,NA,coed,1020,Government,Metropolitan
26,2025,S105,S105_C01,3,narrative_designer,female,0.96,female,NA,coed,1020,Government,Metropolitan
26,2025,S105,S105_C01,1,project_manager,female,0.99,female,NA,coed,1020,Government,Metropolitan
26,2025,S105,S105_C01,2,team_captain,female,1,female,NA,coed,1020,Government,Metropolitan
